Day,Temperature Day,Pressure Day,Wind Day,Temperature Night,Pressure Night,Wind Night
2008-01-10,-20,765,В 2м/с,-22,765,В 2м/с
2008-01-11,-20,764,Ш,-24,764,Ш
2008-01-12,-20,762,З 2м/с,-20,761,З 2м/с
2008-01-13,-9,756,ЮЗ 3м/с,-7,754,ЮЗ 3м/с
2008-01-14,-6,751,ЮЗ 2м/с,-4,752,ЮЗ 2м/с
2008-01-15,-1,753,З 1м/с,-2,754,З 1м/с
2008-01-16,-1,759,Ш,-2,762,Ш
2008-01-17,-4,765,Ю 3м/с,-4,765,Ю 3м/с
2008-01-18,-8,765,Ю 1м/с,-10,765,Ю 1м/с
2008-01-19,-9,765,Ш,-12,765,Ш
2008-01-20,-9,762,Ю 3м/с,-14,762,Ю 3м/с
2008-01-21,-15,759,В 2м/с,-17,759,В 2м/с
2008-01-22,-13,753,В 4м/с,-11,751,В 4м/с
2008-01-23,-9,751,Ю 3м/с,-9,751,Ю 3м/с
2008-01-24,-11,750,В 3м/с,-10,751,В 3м/с
2008-01-25,-8,753,В 1м/с,-10,751,В 1м/с
2008-01-26,-4,742,Ю 2м/с,-3,741,Ю 2м/с
2008-01-27,-1,735,В 2м/с,-2,735,В 2м/с
2008-01-28,-1,741,ЮВ 3м/с,-3,744,ЮВ 3м/с
2008-01-29,-4,749,Ю 1м/с,-5,750,Ю 1м/с
2008-01-30,-6,753,С 1м/с,-5,753,С 1м/с
2008-01-31,-7,753,В 1м/с,-11,753,В 1м/с
2008-02-10,-11,753,ЮВ 1м/с,-14,753,ЮВ 1м/с
2008-02-11,-12,756,В 1м/с,-11,758,В 1м/с
2008-02-12,-6,756,В 1м/с,-5,754,В 1м/с
2008-02-13,-3,756,З 4м/с,-2,754,З 4м/с
2008-02-14,-1,759,З 1м/с,-9,760,З 1м/с
2008-02-15,-6,760,З 2м/с,-9,761,З 2м/с
2008-02-16,-8,765,Ш,-6,767,Ш
2008-02-17,-10,773,В 2м/с,-15,773,В 2м/с
2008-02-18,-14,774,ЮЗ 3м/с,-18,772,ЮЗ 3м/с
2008-02-19,-12,762,ЮЗ 3м/с,-11,762,ЮЗ 3м/с
2008-02-20,-3,760,ЮЗ 1м/с,-3,762,ЮЗ 1м/с
2008-02-21,-5,763,ЮЗ 1м/с,-7,763,ЮЗ 1м/с
2008-02-22,-4,758,ЮЗ 4м/с,-6,755,ЮЗ 4м/с
2008-02-23,-6,746,ЮЗ 4м/с,-9,744,ЮЗ 4м/с
2008-02-24,-13,744,В 2м/с,-13,741,В 2м/с
2008-02-25,-10,741,ЮЗ 2м/с,-17,744,ЮЗ 2м/с
2008-02-26,-11,750,З 2м/с,-16,753,З 2м/с
2008-02-27,-14,751,ЮЗ 3м/с,-15,750,ЮЗ 3м/с
2008-02-28,-13,746,ЮВ 2м/с,-14,744,ЮВ 2м/с
2008-02-29,-8,735,СЗ 2м/с,-13,735,СЗ 2м/с
2008-02-30,-8,740,СЗ 4м/с,-10,744,СЗ 4м/с
2008-02-31,-7,750,З 3м/с,-8,746,З 3м/с
2008-02-32,+1,734,ЮЗ 4м/с,+1,732,ЮЗ 4м/с
2008-02-33,+3,739,ЮЗ 3м/с,+1,741,ЮЗ 3м/с
2008-02-34,0,741,ЮЗ 4м/с,+1,738,ЮЗ 4м/с
2008-02-35,0,728,ЮЗ 3м/с,+1,735,ЮЗ 3м/с
2008-02-36,+2,744,З 3м/с,0,745,З 3м/с
2008-02-37,+2,741,ЮЗ 3м/с,+1,740,ЮЗ 3м/с
